functional,species,month,date,location,site,site.id,site.grp,start,end,turbidity.ntu,turbidity.group,visibility.m,salinity.psu,tds.ppt,do.mg.l,do.%.sat,turbidity.probe,nitrate.mg.l,nitrate.mv,temp.c,max.turbidity.probe,tl,depth,followed.min,turf.total,unk.oth.macro.total,d.versluysii.total,g.salicornia.total,coral.total,btw.branches.total,cca.total,sponge.total,other.total,total.total,turf,macro,coral,cca,sponge,mucus,other,total,turf.avg,macro.avg,coral.avg,cca.avg,sponge.avg,mucus.avg,other.avg,total.avg,ses,comments,diver,bc.branching,bc.rubble,bc.rock,bc.sand,bc.sponge,bc.plate,bc.cca,bc.turf,bc.macro
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,2,L3S2,C,13:30,14:10,0.612,<1.5,5.62,34.80,33.80,5.79,87.08,3.98,-,-,26.3986671,4.079397,20.0,1,3,0,0,0,0,3,0,0,0,0,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,,-,AG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,2,L3S2,C,13:30,14:10,0.612,<1.5,5.62,34.80,33.80,5.79,87.08,3.98,-,-,26.3986671,4.079397,18.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,,-,AG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,3,L3S3,C,14:40,15:20,0.834,<1.5,6.10,34.68,33.70,6.26,94.14,3.93,-,-,26.40078091,4.007834,12.0,1,2.75,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,3,L3S3,C,14:40,15:20,0.834,<1.5,6.10,34.68,33.70,6.26,94.14,3.93,-,-,26.40078091,4.007834,31.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,3,L3S3,C,14:40,15:20,0.834,<1.5,6.10,34.68,33.70,6.26,94.14,3.93,-,-,26.40078091,4.007834,18.0,1,2.5,2,0,0,0,0,0,0,0,0,2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,4,4/20/2023,L3 - North Bay,3,L3S3,C,14:40,15:20,0.834,<1.5,6.10,34.68,33.70,6.26,94.14,3.93,-,-,26.40078091,4.007834,28.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,AG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,5,5/18/2023,L3 - North Bay,3,L3S3,C,10:25,10:55,0.971,<1.5,4.50,32.24,31.60,6.05,88.41,0.02,-,-,25.515512,0.2805872,14.0,0.6,3,0,4,0,0,0,0,0,0,0,4,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,0.0,1.3,0.0,0.0,0.0,0.0,0.0,1.3,Y,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,6,6/15/2023,L3 - North Bay,3,L3S3,C,10:15,11:00,3.081,>3,3.88,32.92,32.16,5.65,77.36,5.77,450.62,75.85,27.05896171,8.049191,32.0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,6,6/15/2023,L3 - North Bay,3,L3S3,C,10:15,11:00,3.081,>3,3.88,32.92,32.16,5.65,77.36,5.77,450.62,75.85,27.05896171,8.049191,15.0,0.6,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,17.0,1,3,0,0,20,0,0,0,0,0,0,20,0.0,6.7,0.0,0.0,0.0,0.0,0.0,6.7,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,Y,bubble,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,24.0,1,3,0,0,46,0,0,0,0,0,0,46,0.0,15.3,0.0,0.0,0.0,0.0,0.0,15.3,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,Y,bubble,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,19.5,1,3,0,0,20,0,0,0,0,0,0,20,0.0,6.7,0.0,0.0,0.0,0.0,0.0,6.7,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,Y,bubble,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,20.0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,16.0,1.5,1.583,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,22.0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,16.0,1.5,3,1,0,0,0,0,0,0,0,0,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,30.0,2,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,22.0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,20.0,1.5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,"swam in group of 5 others, none ate",JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,17.0,1,3,26,0,0,0,0,2,0,0,0,28,9.3,0.0,0.0,0.0,0.0,0.0,0.0,9.3,0.9,2.6,0.0,0.0,0.0,0.0,0.0,3.5,,turf,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,25.0,2,2.25,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,27.0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,24.0,2,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,20.0,2,1.5,1,0,0,0,0,0,0,0,0,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,10,10/26/2023,L3 - North Bay,2,L3S2,C,10:40,11:13,1.331,<1.5,3.15,37.02,35.69,4.47,69.11,0.00,5.84,86.55,27.56133844,0.399838,8.0,1,3,0,32,0,0,0,0,0,0,0,32,0.0,10.7,0.0,0.0,0.0,0.0,0.0,10.7,0.0,15.3,0.0,0.0,0.0,0.0,0.0,15.3,,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,10,10/26/2023,L3 - North Bay,2,L3S2,C,10:40,11:13,1.331,<1.5,3.15,37.02,35.69,4.47,69.11,0.00,5.84,86.55,27.56133844,0.399838,15.0,1.3,3,0,60,0,0,0,0,0,0,0,60,0.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,15.3,0.0,0.0,0.0,0.0,0.0,15.3,,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,10,10/26/2023,L3 - North Bay,3,L3S3,C,9:45,10:20,0.917,<1.5,5.00,36.95,35.62,4.84,74.74,0.00,5.99,86.23,27.55492844,0,8.0,2,3,1,0,0,0,0,0,0,0,0,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,,-,JS,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. unicornis,11,11/2/2023,L3 - North Bay,2,L3S2,C,10:35,11:05,1.539,-,3.75,36.68,35.39,4.95,76.80,0.05,4.98,89.31,27.94087966,0.2648362,25.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,11,11/2/2023,L3 - North Bay,2,L3S2,C,10:35,11:05,1.539,-,3.75,36.68,35.39,4.95,76.80,0.05,4.98,89.31,27.94087966,0.2648362,8.5,1,3,38,0,0,0,0,0,0,0,0,38,12.7,0.0,0.0,0.0,0.0,0.0,0.0,12.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,Y,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,11,11/2/2023,L3 - North Bay,2,L3S2,C,10:35,11:05,1.539,-,3.75,36.68,35.39,4.95,76.80,0.05,4.98,89.31,27.94087966,0.2648362,6.5,1,3,37,0,0,0,0,0,0,0,0,37,12.3,0.0,0.0,0.0,0.0,0.0,0.0,12.3,8.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,Y,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,11,11/2/2023,L3 - North Bay,2,L3S2,C,10:35,11:05,1.539,-,3.75,36.68,35.39,4.95,76.80,0.05,4.98,89.31,27.94087966,0.2648362,8.5,1,3,26,0,0,0,0,0,0,0,0,26,8.7,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.4,0.0,0.0,0.0,0.0,0.0,0.0,8.4,Y,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,12,12/7/2023,L3 - North Bay,2,L3S2,C,14:00,14:40,2.176,-,5.25,33.89,33.03,7.80,115.03,5.46,5.51,86.97,25.73092763,5.7109776,18.0,1,2.333,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. unicornis,12,12/7/2023,L3 - North Bay,2,L3S2,C,14:00,14:40,2.176,-,5.25,33.89,33.03,7.80,115.03,5.46,5.51,86.97,25.73092763,5.7109776,15.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,22.0,1,1.5,0,0,5,0,0,0,0,0,0,5,0.0,3.3,0.0,0.0,0.0,0.0,0.0,3.3,0.3,1.4,0.0,0.0,0.0,0.0,0.0,1.7,Y,bubble,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,32.0,2,1.75,0,0,6,0,0,0,0,0,0,6,0.0,3.4,0.0,0.0,0.0,0.0,0.0,3.4,0.3,1.4,0.0,0.0,0.0,0.0,0.0,1.7,Y,bubble,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,28.0,2,3,0,1,0,0,0,0,0,0,0,1,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.3,0.3,1.4,0.0,0.0,0.0,0.0,0.0,1.7,,-,KG,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,32.0,1.5,3,4,0,0,0,0,0,0,0,0,4,1.3,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.4,0.0,0.0,0.0,0.0,0.0,1.7,Y,-,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,2,L3S2,C,13:00,13:40,0.978,<1.5,5.85,34.57,33.57,6.01,92.86,6.25,4.88,89.71,28.10700829,6.333508,24.0,1.5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,1.4,0.0,0.0,0.0,0.0,0.0,1.7,,-,JM,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,15.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. lituratus,9,9/15/2023,L3 - North Bay,3,L3S3,C,11:50,12:30,0.826,<1.5,9.20,35.07,34.01,5.65,87.01,6.32,5.36,88.13,27.68496674,10.12274,16.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. lituratus,10,10/26/2023,L3 - North Bay,2,L3S2,C,10:40,11:13,1.331,<1.5,3.15,37.02,35.69,4.47,69.11,0.00,5.84,86.55,27.56133844,0.399838,7.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,TS,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Browser,N. lituratus,10,10/26/2023,L3 - North Bay,3,L3S3,C,9:45,10:20,0.917,<1.5,5.00,36.95,35.62,4.84,74.74,0.00,5.99,86.23,27.55492844,0,12.0,1,3,1,0,0,0,0,0,0,0,0,1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.2,2.8,0.0,0.0,0.0,0.0,0.0,3.0,,-,KG,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. lituratus,10,10/26/2023,L3 - North Bay,3,L3S3,C,9:45,10:20,0.917,<1.5,5.00,36.95,35.62,4.84,74.74,0.00,5.99,86.23,27.55492844,0,19.0,1,3,0,17,0,0,0,0,0,0,0,17,0.0,5.7,0.0,0.0,0.0,0.0,0.0,5.7,0.2,2.8,0.0,0.0,0.0,0.0,0.0,3.0,,-,JR,56.00,4.92,0.67,0.00,0.33,0.08,24.42,10.92,2.67
Browser,N. lituratus,11,11/2/2023,L3 - North Bay,2,L3S2,C,10:35,11:05,1.539,-,3.75,36.68,35.39,4.95,76.80,0.05,4.98,89.31,27.94087966,0.2648362,16.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,-,JR,41.58,5.50,0.25,0.00,1.25,0.42,29.33,16.75,4.92
Grazer,Z. velifer,1,1/12/2023,L1 - South Bay,1,L1S1,A,15:05,15:50,1.384,<1.5,-,35.96,34.81,6.96,104.57,2.49,-,-,25.88714333,2.637129,4.0,1,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.2,0.0,0.0,0.0,0.0,0.0,3.7,-,-,KG,24.83,24.08,4.33,20.83,9.75,0.00,2.58,13.33,0.25
Grazer,Z. velifer,1,1/12/2023,L1 - South Bay,1,L1S1,A,15:05,15:50,1.384,<1.5,-,35.96,34.81,6.96,104.57,2.49,-,-,25.88714333,2.637129,7.0,1.5,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.2,0.0,0.0,0.0,0.0,0.0,3.7,-,-,KG,24.83,24.08,4.33,20.83,9.75,0.00,2.58,13.33,0.25
Grazer,Z. velifer,1,1/12/2023,L1 - South Bay,1,L1S1,A,15:05,15:50,1.384,<1.5,-,35.96,34.81,6.96,104.57,2.49,-,-,25.88714333,2.637129,6.0,1.5,3,6,0,0,0,0,0,0,0,0,6,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.5,1.2,0.0,0.0,0.0,0.0,0.0,3.7,-,-,KG,24.83,24.08,4.33,20.83,9.75,0.00,2.58,13.33,0.25
